tfidf,token
4.989462270313782,aa
8.799821621965428,aa amp
8.64567094213817,aa customer
8.799821621965428,aa dfw
8.288995998199436,aa flight
8.799821621965428,aa http
8.193685818395112,aadvantage
8.288995998199436,abc
8.799821621965428,ability
5.795790545596741,able
8.64567094213817,able help
8.799821621965428,able use
8.288995998199436,abq
7.456086875264332,absolute
8.64567094213817,absolute worst
7.157593886708336,absolutely
7.952523761578224,absurd
8.512139549513646,abt
8.799821621965428,abysmal
7.818992368953701,accept
7.4135272608455365,acceptable
8.394356513857263,accepted
8.288995998199436,accepting
6.9280194450638355,access
8.799821621965428,access journal
8.799821621965428,accident
7.701209333297317,accommodate
8.64567094213817,accommodating
8.394356513857263,accommodations
8.106674441405481,according
6.301121650045091,account
8.799821621965428,account help
8.64567094213817,accountability
8.512139549513646,accounts
8.106674441405481,acct
8.193685818395112,accurate
7.818992368953701,act
8.799821621965428,action
8.394356513857263,actions
7.500538637835167,actual
6.125672972538898,actually
8.799821621965428,actually flight
6.172740483396884,add
7.547058653470059,added
7.6471421120270415,adding
7.701209333297317,additional
6.762939694704388,address
8.799821621965428,address thanks
8.64567094213817,addressed
8.64567094213817,adds
8.799821621965428,admiral
8.026631733731946,admirals
8.106674441405481,admirals club
8.799821621965428,admit
8.799821621965428,ads
7.883530890091272,advance
7.818992368953701,advantage
8.799821621965428,advertise
8.799821621965428,advertising
8.288995998199436,advice
7.818992368953701,advise
7.372705266325282,advisory
8.193685818395112,affected
8.026631733731946,afford
7.157593886708336,afternoon
8.394356513857263,age
8.799821621965428,agency
5.023236587432385,agent
8.512139549513646,agent flight
8.288995998199436,agent phone
8.394356513857263,agent said
8.799821621965428,agent told
5.567700570347205,agents
8.799821621965428,agents busy
5.686306312755053,ago
8.394356513857263,agree
8.026631733731946,ah
7.701209333297317,ahead
8.394356513857263,ahold
5.635754033592222,air
8.799821621965428,air traffic
8.799821621965428,air travel
8.394356513857263,airbus
8.512139549513646,aircanada
7.095073529727002,aircraft
8.106674441405481,airfare
4.607644810506292,airline
8.799821621965428,airline better
8.026631733731946,airline cancelled
8.799821621965428,airline flight
8.799821621965428,airline just
8.799821621965428,airline thanks
8.64567094213817,airline travel
8.64567094213817,airline world
5.541725083943945,airlines
8.64567094213817,airlines cancelled
8.799821621965428,airlines flight
7.4135272608455365,airplane
8.799821621965428,airplanes
4.7480366741621225,airport
8.394356513857263,airport flight
8.193685818395112,airport hours
8.193685818395112,airport http
8.799821621965428,airport snow
7.4135272608455365,airports
6.1372337949399745,airways
8.64567094213817,airways corporation
8.799821621965428,aisle
8.799821621965428,aka
8.799821621965428,alaska
8.64567094213817,albany
8.193685818395112,alert
8.64567094213817,alerts
8.394356513857263,alliance
7.008062152737372,allow
7.065220566577321,allowed
7.883530890091272,allowing
8.64567094213817,alot
8.288995998199436,alright
7.952523761578224,alternate
5.996461241058892,amazing
8.394356513857263,amazing customer
7.547058653470059,america
6.23487226450389,american
8.64567094213817,american air
7.6471421120270415,american airlines
8.193685818395112,american http
2.6010042094495596,americanair
7.259376581018278,americanair aa
8.64567094213817,americanair absolutely
8.64567094213817,americanair airport
8.799821621965428,americanair appreciate
8.512139549513646,americanair awesome
8.394356513857263,americanair bad
8.193685818395112,americanair bag
8.394356513857263,americanair best
8.288995998199436,americanair booked
8.288995998199436,americanair called
8.394356513857263,americanair calling
6.902701637079546,americanair cancelled
8.512139549513646,americanair care
8.799821621965428,americanair change
8.288995998199436,americanair check
7.818992368953701,americanair customer
8.394356513857263,americanair days
8.64567094213817,americanair delay
8.026631733731946,americanair delayed
8.799821621965428,americanair delta
8.288995998199436,americanair dfwairport
6.953994931467096,americanair did
7.883530890091272,americanair dm
7.4135272608455365,americanair does
8.512139549513646,americanair finally
5.771299525588446,americanair flight
8.026631733731946,americanair flights
8.64567094213817,americanair flt
8.512139549513646,americanair fly
8.394356513857263,americanair flying
8.799821621965428,americanair friend
8.193685818395112,americanair gate
7.883530890091272,americanair going
8.193685818395112,americanair good
7.4135272608455365,americanair got
7.883530890091272,americanair great
7.456086875264332,americanair guys
8.799821621965428,americanair happens
7.456086875264332,americanair help
7.701209333297317,americanair hey
7.595848817639491,americanair hi
7.224285261207008,americanair hold
8.512139549513646,americanair hope
8.64567094213817,americanair hour
7.883530890091272,americanair hours
8.64567094213817,americanair hrs
8.799821621965428,americanair idea
8.799821621965428,americanair issue
6.807391457275221,americanair just
7.883530890091272,americanair know
8.64567094213817,americanair late
8.512139549513646,americanair lax
8.394356513857263,americanair let
7.952523761578224,americanair like
8.799821621965428,americanair line
8.799821621965428,americanair long
8.799821621965428,americanair look
8.799821621965428,americanair looking
8.026631733731946,americanair lost
7.818992368953701,americanair love
8.799821621965428,americanair min
7.036233029704069,americanair need
8.394356513857263,americanair new
8.512139549513646,americanair nice
8.799821621965428,americanair number
8.026631733731946,americanair oh
7.6471421120270415,americanair ok
8.799821621965428,americanair paid
8.799821621965428,americanair pay
8.106674441405481,americanair phone
8.799821621965428,americanair pilot
8.512139549513646,americanair plane
8.799821621965428,americanair point
8.64567094213817,americanair pretty
7.701209333297317,americanair really
8.288995998199436,americanair rebooked
8.394356513857263,americanair response
8.512139549513646,americanair right
8.64567094213817,americanair rude
8.64567094213817,americanair said
8.64567094213817,americanair sent
8.512139549513646,americanair seriously
8.394356513857263,americanair sitting
8.512139549513646,americanair sorry
8.799821621965428,americanair spent
8.799821621965428,americanair staff
8.288995998199436,americanair status
8.799821621965428,americanair stranded
8.288995998199436,americanair stuck
8.64567094213817,americanair supposed
7.818992368953701,americanair sure
8.394356513857263,americanair tell
6.514043647287763,americanair thank
5.928141997081415,americanair thanks
8.394356513857263,americanair think
8.288995998199436,americanair thx
8.512139549513646,americanair ticket
8.512139549513646,americanair time
8.288995998199436,americanair told
8.799821621965428,americanair travel
7.500538637835167,americanair tried
6.83038097549992,americanair trying
7.595848817639491,americanair understand
8.106674441405481,americanair united
7.224285261207008,americanair usairways
8.799821621965428,americanair wait
7.500538637835167,americanair waiting
8.288995998199436,americanair want
7.952523761578224,americanair way
8.799821621965428,americanair weather
8.64567094213817,americanair wo
8.512139549513646,americanair worries
8.799821621965428,americanair worry
7.500538637835167,americanair worst
8.799821621965428,americanair yeah
8.799821621965428,americanair yep
6.878009024489175,americanair yes
7.190383709531327,americanairlines
8.799821621965428,americanview
4.168334127659962,amp
8.512139549513646,amp cancelled
8.799821621965428,amp counting
8.799821621965428,amp crew
8.799821621965428,amp did
8.64567094213817,amp flight
8.512139549513646,amp gate
8.799821621965428,amp getting
8.288995998199436,amp got
7.883530890091272,amp hold
8.799821621965428,amp just
8.026631733731946,amp told
8.799821621965428,amp want
7.500538637835167,angry
8.394356513857263,anniversary
8.193685818395112,announce
7.883530890091272,announced
7.818992368953701,announcement
8.512139549513646,announcements
8.394356513857263,annoyed
7.952523761578224,annoying
8.799821621965428,annricord
8.799821621965428,annual
5.918752256731576,answer
7.883530890091272,answer phone
8.288995998199436,answer phones
8.64567094213817,answer question
7.500538637835167,answered
7.065220566577321,answering
8.512139549513646,answering phone
8.64567094213817,answering phones
7.157593886708336,answers
8.799821621965428,anticipate
8.799821621965428,antonio
8.799821621965428,anxious
7.259376581018278,anymore
8.394356513857263,anytime
8.288995998199436,apart
7.701209333297317,apologies
7.883530890091272,apologize
6.699760793082856,apology
5.947190192052109,app
8.394356513857263,app says
8.799821621965428,appalled
6.9280194450638355,apparently
8.394356513857263,appear
8.026631733731946,appears
7.595848817639491,appease
7.6471421120270415,appease passengers
8.288995998199436,apple
8.799821621965428,apple pay
8.799821621965428,application
7.952523761578224,applied
7.883530890091272,apply
5.837990900087117,appreciate
8.799821621965428,appreciate help
8.799821621965428,appreciate prompt
8.512139549513646,appreciate response
6.853911472910114,appreciated
8.512139549513646,approach
8.799821621965428,appropriate
7.7583677471372665,april
7.157593886708336,area
8.799821621965428,armrest
8.64567094213817,arrangements
7.125845188393756,arrival
8.799821621965428,arrival time
6.62128917764136,arrive
8.799821621965428,arrive hours
6.548529823358932,arrived
7.6471421120270415,arrives
8.799821621965428,arrives flytpa
7.295744225189153,arriving
8.394356513857263,article
6.83038097549992,asap
8.799821621965428,ase
8.193685818395112,ashamed
6.699760793082856,ask
6.417193821297845,asked
6.741433489483423,asking
8.64567094213817,asleep
8.512139549513646,aspen
8.193685818395112,ass
8.799821621965428,assaulted
8.799821621965428,assign
7.883530890091272,assigned
8.288995998199436,assignment
7.4135272608455365,assist
6.5842479059610115,assistance
8.799821621965428,assult
8.512139549513646,assume
6.902701637079546,atl
6.980663178549258,atlanta
8.64567094213817,atlantic
8.512139549513646,atrocious
7.6471421120270415,attempt
8.799821621965428,attempting
8.512139549513646,attend
6.080721584676632,attendant
6.548529823358932,attendants
8.193685818395112,attention
7.190383709531327,attitude
8.394356513857263,aug
8.799821621965428,aug avgeek
8.026631733731946,august
7.595848817639491,aus
6.902701637079546,austin
8.193685818395112,australia
7.547058653470059,auto
8.799821621965428,auto rebooked
6.878009024489175,automated
8.64567094213817,automated message
7.883530890091272,automatically
7.7583677471372665,avail
8.394356513857263,availability
5.928141997081415,available
8.394356513857263,available flight
8.799821621965428,available online
8.799821621965428,available seats
7.456086875264332,avgeek
8.394356513857263,avgeek http
8.193685818395112,aviation
7.818992368953701,avoid
8.512139549513646,awaiting
6.83038097549992,award
8.799821621965428,award ticket
8.106674441405481,award travel
8.394356513857263,awards
7.952523761578224,aware
6.260847750907151,away
8.799821621965428,awe
5.779396735821065,awesome
8.288995998199436,awesome flight
8.799821621965428,awesome service
8.799821621965428,awesome thank
8.026631733731946,awesome thanks
6.514043647287763,awful
8.799821621965428,awful customer
8.64567094213817,awful experience
8.64567094213817,awful service
8.512139549513646,aww
8.026631733731946,ba
7.333484553172,baby
8.64567094213817,backs
8.64567094213817,backup
5.404195285352727,bad
8.512139549513646,bad customer
8.394356513857263,bad experience
8.64567094213817,bad service
7.036233029704069,bad weather
7.6471421120270415,badcustomerservice
8.799821621965428,badges
8.288995998199436,badly
7.500538637835167,badservice
8.64567094213817,bae
4.495756528761257,bag
8.64567094213817,bag amp
8.394356513857263,bag check
8.799821621965428,bag claim
8.799821621965428,bag did
8.64567094213817,bag drop
8.026631733731946,bag flight
7.952523761578224,bag lost
5.179935039338442,baggage
6.83038097549992,baggage claim
8.106674441405481,baggage fees
8.64567094213817,baggage handlers
8.288995998199436,baggage lost
8.288995998199436,baggage office
8.799821621965428,baggage service
4.989462270313782,bags
8.288995998199436,bags flight
8.799821621965428,bags fly
8.799821621965428,bags loaded
8.799821621965428,bahamas
8.193685818395112,balance
8.512139549513646,balance passengers
7.952523761578224,ball
8.512139549513646,baltimore
8.394356513857263,band
7.4135272608455365,bank
8.799821621965428,bankrupt
8.64567094213817,bar
8.394356513857263,barely
7.7583677471372665,based
8.64567094213817,basic
8.106674441405481,basically
8.288995998199436,bathroom
7.6471421120270415,battles
7.701209333297317,battles appease
8.394356513857263,bay
6.372073386017376,bc
7.7583677471372665,bday
7.952523761578224,bdl
8.106674441405481,beach
8.394356513857263,beat
8.799821621965428,beats
7.883530890091272,beautiful
8.512139549513646,beer
8.026631733731946,begin
8.512139549513646,beginning
6.548529823358932,believe
8.512139549513646,belongings
8.512139549513646,belt
8.799821621965428,benefit
8.512139549513646,benefits
8.799821621965428,bereavement
5.3340857191657,best
7.7583677471372665,best airline
8.799821621965428,best airlines
8.512139549513646,best customer
8.288995998199436,best flight
8.799821621965428,best follow
8.799821621965428,best friend
8.799821621965428,best option
8.799821621965428,best way
7.952523761578224,bet
5.393084059927657,better
8.799821621965428,better customer
